sheet,concentration_mM,t_min,t_max,mean_dydt0,std_dydt0,n_trials
01_14,1.0,0.02,40,-0.029200680919287163,0.0009485959949679673,6
01_14,1.0,0.02,50,-0.02822577002813234,0.0013161847328550342,6
01_14,1.0,0.02,60,-0.024448656281192124,0.0044404182011318245,6
01_14,1.0,0.05,20,-0.03052696336852113,0.0009189025136565191,6
01_14,1.0,0.05,30,-0.02944250130770927,0.000824133264880694,6
01_14,1.0,0.05,40,-0.028779754656869962,0.0008727701868330132,6
01_14,1.0,0.05,50,-0.0277538706693501,0.0012851160389365428,6
01_14,1.0,0.05,60,-0.02381647409648566,0.004442099077926854,6
01_14,1.0,0.1,20,-0.02999019854748924,0.0008855020438445455,6
01_14,1.0,0.1,30,-0.02885829834080225,0.0008101846988565449,6
01_14,1.0,0.1,40,-0.02815689276075935,0.000871633822609189,6
01_14,1.0,0.1,50,-0.027035352826796057,0.001329646618694663,6
01_14,1.0,0.1,60,-0.023063774826839495,0.004351912563899008,6
01_14,1.0,0.2,20,-0.028932302900013352,0.0008427740716566359,6
01_14,1.0,0.2,30,-0.027723787887664955,0.0008034507729332778,6
01_14,1.0,0.2,40,-0.02694825323905364,0.0008858275638044148,6
01_14,1.0,0.2,50,-0.025609053329436127,0.001464907383319152,6
01_14,1.0,0.2,60,-0.021237561835929116,0.004092651840203128,6
